,zip_codes,Estimate!!Total,25-44 Renters,%25-44 Renters,lat,lng,city,state_id,state_name,zcta,parent_zcta,population,density,county_fips,county_name,county_weights,county_names_all,county_fips_all,imprecise,military,timezone
771,69358,763,117,0.15334207077326342,42.067840000000004,-103.96709,Morrill,NE,Nebraska,True,,1841,3.9,31157,Scotts Bluff,"{'31157':82.96,'31165':17.04}",Scotts Bluff|Sioux,31157|31165,False,False,America/Denver
107,33028,8054,1233,0.15309163148745963,26.01853,-80.34488,Pembroke Pines,FL,Florida,True,,27235,1792.7,12011,Broward,{'12011':100},Broward,12011,False,False,America/New_York
596,85254,18225,2790,0.15308641975308643,33.61505,-111.95195,Scottsdale,AZ,Arizona,True,,46333,1296.5,4013,Maricopa,{'04013':100},Maricopa,04013,False,False,America/Phoenix
870,92071,19611,3002,0.15307735454591812,32.851279999999996,-116.99146,Santee,CA,California,True,,57511,1175.2,6073,San Diego,{'06073':100},San Diego,06073,False,False,America/Los_Angeles
594,85250,8614,1314,0.15254237288135594,33.53581,-111.88853999999999,Scottsdale,AZ,Arizona,True,,17734,652.8,4013,Maricopa,{'04013':100},Maricopa,04013,False,False,America/Phoenix
509,48187,18278,2782,0.15220483641536273,42.329159999999995,-83.48782,Canton,MI,Michigan,True,,49686,1049.9,26163,Wayne,{'26163':100},Wayne,26163,False,False,America/Detroit
828,55112,17227,2622,0.15220293724966621,45.07658,-93.18893,Saint Paul,MN,Minnesota,True,,45895,878.3,27123,Ramsey,{'27123':100},Ramsey,27123,False,False,America/Chicago
35,84054,6467,983,0.15200247409927323,40.84114,-111.91696,North Salt Lake,UT,Utah,True,,20005,745.7,49011,Davis,{'49011':100},Davis,49011,False,False,America/Denver
299,98943,408,62,0.15196078431372548,47.185629999999996,-120.95844,South Cle Elum,WA,Washington,True,,863,296.7,53037,Kittitas,{'53037':100},Kittitas,53037,False,False,America/Los_Angeles
607,99603,4034,612,0.1517104610808131,59.52457,-151.22871,Homer,AK,Alaska,True,,10509,3.5,2122,Kenai Peninsula,{'02122':100},Kenai Peninsula,02122,False,False,America/Anchorage
810,3878,4964,753,0.15169218372280419,43.25288,-70.88521999999999,Somersworth,NH,New Hampshire,True,,11959,456.2,33017,Strafford,{'33017':100},Strafford,33017,False,False,America/New_York
256,80401,16494,2501,0.15163089608342428,39.716429999999995,-105.23507,Golden,CO,Colorado,True,,42169,291.4,8059,Jefferson,{'08059':100},Jefferson,08059,False,False,America/Denver
274,21043,16876,2556,0.1514576913960654,39.257529999999996,-76.7979,Ellicott City,MD,Maryland,True,,46932,960.1,24027,Howard,"{'24005':2.12,'24027':97.88}",Howard|Baltimore,24027|24005,False,False,America/New_York
724,18049,7461,1129,0.15132019836483046,40.51741,-75.5008,Emmaus,PA,Pennsylvania,True,,17549,446.5,42077,Lehigh,{'42077':100},Lehigh,42077,False,False,America/New_York
706,77386,17158,2591,0.1510082760228465,30.10125,-95.35583000000001,Spring,TX,Texas,True,,54802,347.2,48339,Montgomery,{'48339':100},Montgomery,48339,False,False,America/Chicago
96,92382,1835,277,0.15095367847411445,34.205420000000004,-117.11801000000001,Running Springs,CA,California,True,,4709,134.9,6071,San Bernardino,{'06071':100},San Bernardino,06071,False,False,America/Los_Angeles
226,96741,2047,309,0.15095261358085002,21.955779999999997,-159.51629,Kalaheo,HI,Hawaii,True,,6284,83.1,15007,Kauai,{'15007':100},Kauai,15007,False,False,Pacific/Honolulu
