,zip_codes,Estimate!!Total,Movers Total,%Movers,lat,lng,city,state_id,state_name,zcta,parent_zcta,population,density,county_fips,county_name,county_weights,county_names_all,county_fips_all,imprecise,military,timezone
134,97333,22786,6632,0.2910559115246204,44.473659999999995,-123.30733000000001,Corvallis,OR,Oregon,True,,22994,71.0,41003,Benton,"{'41003':94.03,'41043':5.97}",Benton|Linn,41003|41043,False,False,America/Los_Angeles
135,59716,2601,757,0.29104190695886195,45.10265,-111.48678999999998,Big Sky,MT,Montana,True,,2612,1.7,30031,Gallatin,"{'30031':75.53,'30057':24.47}",Gallatin|Madison,30031|30057,False,False,America/Denver
136,63105,18186,5280,0.2903332233586275,38.64436,-90.32831,Saint Louis,MO,Missouri,True,,18333,2554.5,29189,St. Louis,"{'29189':94.03,'29510':5.97}",St. Louis|St. Louis,29189|29510,False,False,America/Chicago
137,10996,6558,1904,0.2903324184202501,41.38975,-73.97267,West Point,NY,New York,True,,6673,804.1,36071,Orange,{'36071':100},Orange,36071,False,False,America/New_York
138,22201,37094,10743,0.28961557125141535,38.88661,-77.09521,Arlington,VA,Virginia,True,,37545,5532.4,51013,Arlington,{'51013':100},Arlington,51013,False,False,America/New_York
139,84341,22927,6623,0.2888733807301435,41.77583,-111.80693000000001,Logan,UT,Utah,True,,23426,634.0,49005,Cache,{'49005':100},Cache,49005,False,False,America/Denver
140,64112,8309,2400,0.2888434227945601,39.03598,-94.59529,Kansas City,MO,Missouri,True,,8352,2132.8,29095,Jackson,{'29095':100},Jackson,29095,False,False,America/Chicago
141,32256,44747,12875,0.2877287862873489,30.187829999999998,-81.50041,Jacksonville,FL,Florida,True,,45688,233.9,12031,Duval,{'12031':100},Duval,12031,False,False,America/New_York
142,80230,9174,2633,0.28700675822977983,39.71946,-104.89031000000001,Denver,CO,Colorado,True,,9349,1173.2,8031,Denver,{'08031':100},Denver,08031,False,False,America/Denver
143,98337,6903,1979,0.28668694770389685,47.56862,-122.6309,Bremerton,WA,Washington,True,,7039,2491.4,53035,Kitsap,{'53035':100},Kitsap,53035,False,False,America/Los_Angeles
144,73072,46319,13277,0.2866426304540253,35.20827,-97.50317,Norman,OK,Oklahoma,True,,46675,313.6,40027,Cleveland,"{'40027':95.13,'40087':4.87}",Cleveland|McClain,40027|40087,False,False,America/Chicago
145,93626,1940,556,0.2865979381443299,37.04218,-119.6807,Friant,CA,California,True,,1983,5.3,6019,Fresno,"{'06019':75.94,'06039':24.06}",Fresno|Madera,06019|06039,False,False,America/Los_Angeles
146,77007,36998,10565,0.28555597599870264,29.771279999999997,-95.41145,Houston,TX,Texas,True,,37492,1525.4,48201,Harris,{'48201':100},Harris,48201,False,False,America/Chicago
147,43240,4283,1221,0.2850805510156432,40.14545,-82.98172,Columbus,OH,Ohio,True,,4295,534.0,39041,Delaware,{'39041':100},Delaware,39041,False,False,America/New_York
148,8542,5927,1687,0.2846296608739666,40.3529,-74.66031,Princeton,NJ,New Jersey,True,,5927,3867.7,34021,Mercer,{'34021':100},Mercer,34021,False,False,America/New_York
149,94105,8984,2553,0.28417186108637577,37.7898,-122.39386,San Francisco,CA,California,True,,9155,6205.8,6075,San Francisco,{'06075':100},San Francisco,06075,False,False,America/Los_Angeles
150,35205,19927,5642,0.28313343704521504,33.49496,-86.80825,Birmingham,AL,Alabama,True,,20109,2100.2,1073,Jefferson,{'01073':100},Jefferson,01073,False,False,America/Chicago
151,98326,657,186,0.2831050228310502,48.167790000000004,-124.38897,Clallam Bay,WA,Washington,True,,657,1.9,53009,Clallam,{'53009':100},Clallam,53009,False,False,America/Los_Angeles
152,69337,7035,1990,0.2828713574982232,42.82655,-103.0109,Chadron,NE,Nebraska,True,,7059,4.1,31045,Dawes,"{'31045':99.66,'31161':0.34}",Dawes|Sheridan,31045|31161,False,False,America/Denver
153,80840,6591,1862,0.28250644818692155,38.99467,-104.85708000000001,Usaf Academy,CO,Colorado,True,,6633,89.3,8041,El Paso,{'08041':100},El Paso,08041,False,False,America/Denver
154,20036,5742,1617,0.28160919540229884,38.90696,-77.04166,Washington,DC,District of Columbia,True,,5798,6303.5,11001,District of Columbia,{'11001':100},District of Columbia,11001,False,False,America/New_York
